timestamp,source_ip,username,event_type,severity,description
2025-11-23T13:12:01Z,192.168.1.50,john.doe,failed_login,medium,"Multiple failed login attempts detected"
2025-11-23T13:15:45Z,10.0.0.23,alice.smith,unauthorized_access,high,"User attempted to access restricted folder"
2025-11-23T13:20:10Z,172.16.5.12,bob.jones,brute_force,high,"Possible brute-force attack detected"
2025-11-23T13:25:33Z,192.168.1.60,charlie.king,failed_login,low,"Single failed login attempt"
2025-11-23T13:30:50Z,10.0.0.45,diana.prince,malware_alert,high,"Suspicious file detected in system scan"
2025-11-23T13:35:21Z,172.16.5.14,edward.nash,uncommon_activity,medium,"Unusual login time for this user"
2025-11-23T13:40:00Z,192.168.1.70,frank.white,failed_login,medium,"Multiple failed login attempts detected"
2025-11-23T13:45:15Z,10.0.0.23,alice.smith,privilege_escalation,high,"User attempted to gain admin privileges"
2025-11-23T13:50:42Z,172.16.5.16,george.miller,data_exfiltration,high,"Large data transfer to external IP detected"
2025-11-23T13:55:10Z,192.168.1.80,helen.gray,failed_login,low,"Single failed login attempt"
2025-11-23T13:12:01Z,192.168.1.50,john.doe,failed_login,medium,Multiple failed login attempts detected
2025-11-23T13:15:45Z,10.0.0.23,alice.smith,unauthorized_access,high,User attempted to access restricted folder
2025-11-23T13:20:10Z,172.16.5.12,bob.jones,brute_force,high,Possible brute-force attack detected
2025-11-23T13:25:33Z,192.168.1.60,charlie.king,failed_login,low,Single failed login attempt
2025-11-23T13:30:50Z,10.0.0.45,diana.prince,malware_alert,high,Suspicious file detected in system scan
2025-11-23T13:35:21Z,172.16.5.14,edward.nash,uncommon_activity,medium,Unusual login time for this user
2025-11-23T13:40:00Z,192.168.1.70,frank.white,failed_login,medium,Multiple failed login attempts detected
2025-11-23T13:45:15Z,10.0.0.23,alice.smith,privilege_escalation,high,User attempted to gain admin privileges
2025-11-23T13:50:42Z,172.16.5.16,george.miller,data_exfiltration,high,Large data transfer to external IP detected
2025-11-23T13:55:10Z,192.168.1.80,helen.gray,failed_login,low,Single failed login attempt
2025-11-23T14:00:22Z,10.0.0.33,irene.black,uncommon_activity,medium,Unusual login time for this user
2025-11-23T14:02:17Z,172.16.5.20,john.doe,failed_login,medium,Multiple failed login attempts detected
2025-11-23T14:05:45Z,192.168.1.90,alice.smith,malware_alert,high,Suspicious file detected in system scan
2025-11-23T14:08:33Z,10.0.0.50,bob.jones,brute_force,high,Possible brute-force attack detected
2025-11-23T14:12:10Z,172.16.5.25,charlie.king,failed_login,low,Single failed login attempt
2025-11-23T14:15:55Z,192.168.1.100,diana.prince,privilege_escalation,high,User attempted to gain admin privileges
2025-11-23T14:20:41Z,10.0.0.60,edward.nash,data_exfiltration,high,Large data transfer to external IP detected
2025-11-23T14:25:12Z,172.16.5.30,frank.white,failed_login,medium,Multiple failed login attempts detected
2025-11-23T14:30:30Z,192.168.1.110,george.miller,unauthorized_access,high,User attempted to access restricted folder
2025-11-23T14:35:05Z,10.0.0.70,helen.gray,failed_login,low,Single failed login attempt
